Week,fever: (Singapore)
2013-08-11,50
2013-08-18,53
2013-08-25,47
2013-09-01,43
2013-09-08,46
2013-09-15,53
2013-09-22,51
2013-09-29,51
2013-10-06,55
2013-10-13,49
2013-10-20,52
2013-10-27,56
2013-11-03,53
2013-11-10,50
2013-11-17,55
2013-11-24,48
2013-12-01,51
2013-12-08,44
2013-12-15,51
2013-12-22,53
2013-12-29,54
2012-01-01,87
2012-01-08,85
2012-01-15,79
2012-01-22,84
2012-01-29,78
2012-02-05,77
2012-02-12,81
2012-02-19,83
2012-02-26,71
2012-03-04,77
2012-03-11,73
2012-03-18,82
2012-03-25,77
2012-04-01,69
2012-04-08,79
2012-04-15,80
2012-04-22,83
2012-04-29,84
2012-05-06,84
2012-05-13,76
2012-05-20,89
2012-05-27,76
2012-06-03,81
2012-06-10,80
2012-06-17,76
2012-06-24,70
2012-07-01,75
2012-07-08,85
2012-07-15,86
2012-07-22,83
2012-07-29,71
2012-08-05,69
2012-08-12,87
2012-08-19,84
2012-08-26,74
2012-09-02,76
2012-09-09,71
2012-09-16,69
2012-09-23,73
2012-09-30,78
2012-10-07,80
2012-10-14,77
2012-10-21,93
2012-10-28,87
2012-11-04,82
2012-11-11,81
2012-11-18,79
2012-11-25,84
2012-12-02,86
2012-12-09,84
2012-12-16,89
2012-12-23,93
2012-12-30,100
2017-12-31,83
2018-01-07,89
2018-01-14,100
2018-01-21,91
2018-01-28,90
2018-02-04,86
2018-02-11,86
2018-02-18,83
2018-02-25,77
2018-03-04,80
2018-03-11,78
2018-03-18,78
2018-03-25,77
2018-04-01,75
2018-04-08,75
2018-04-15,71
2018-04-22,74
2018-04-29,76
2018-05-06,87
2018-05-13,73
2018-05-20,76
2018-05-27,76
2018-06-03,82
2018-06-10,72
2018-06-17,77
2018-06-24,73
2018-07-01,76
2018-07-08,74
2018-07-15,79
2018-07-22,81
2018-07-29,77
2018-08-05,71
2018-08-12,78
2018-08-19,65
2018-08-26,62
2018-09-02,65
2018-09-09,64
2018-09-16,71
2018-09-23,69
2018-09-30,70
2018-10-07,69
2018-10-14,69
2018-10-21,78
2018-10-28,73
2018-11-04,84
2018-11-11,80
2018-11-18,88
2018-11-25,81
2018-12-02,83
2018-12-09,82
2018-12-16,92
2018-12-23,86
2018-12-30,87
2021-12-26,47
2022-01-02,60
2022-01-09,58
2022-01-16,62
2022-01-23,69
2022-01-30,68
2022-02-06,76
2022-02-13,91
2022-02-20,97
2022-02-27,82
2022-03-06,73
2022-03-13,68
2022-03-20,55
2022-03-27,48
2022-04-03,51
2022-04-10,51
2022-04-17,51
2022-04-24,47
2022-05-01,53
2022-05-08,62
2022-05-15,72
2022-05-22,71
2022-05-29,75
2022-06-05,65
2022-06-12,71
2022-06-19,88
2022-06-26,97
2022-07-03,94
2022-07-10,100
2022-07-17,91
2022-07-24,92
2022-07-31,82
2022-08-07,81
2022-08-14,76
2022-08-21,69
2022-08-28,61
2022-09-04,70
2022-09-11,76
2022-09-18,72
2022-09-25,73
2022-10-02,79
2022-10-09,98
2022-10-16,89
2022-10-23,75
2022-10-30,67
2022-11-06,66
2022-11-13,61
2022-11-20,55
2022-11-27,51
2022-12-04,57
2022-12-11,65
2022-12-18,65
2022-12-25,67
2023-01-01,63
2023-01-08,64
2023-01-15,63
2023-01-22,65
2023-01-29,63
2023-02-05,76
2023-02-12,74
2023-02-19,73
2023-02-26,70
2023-03-05,91
2023-03-12,94
2023-03-19,84
2023-03-26,90
2023-04-02,87
2023-04-09,100
2023-04-16,85
2023-04-23,85
2023-04-30,88
2023-05-07,75
2023-05-14,73
2023-05-21,73
2023-05-28,76
2023-06-04,66
2023-06-11,65
2023-06-18,61
2023-06-25,64
2023-07-02,64
2023-07-09,64
2023-07-16,66
2023-07-23,80
2023-07-30,75
2023-08-06,69
2023-08-13,66
2023-08-20,66
2023-08-27,65
2023-09-03,68
2023-09-10,66
2023-09-17,62
2023-09-24,73
2023-10-01,65
2023-10-08,61
2023-10-15,62
2023-10-22,60
2023-10-29,64
2023-11-05,61
2023-11-12,64
2023-11-19,70
2023-11-26,82
2023-12-03,87
2023-12-10,91
2023-12-17,71
2023-12-24,71
2023-12-31,70
2020-12-27,48
2021-01-03,51
2021-01-10,52
2021-01-17,50
2021-01-24,49
2021-01-31,47
2021-02-07,60
2021-02-14,59
2021-02-21,56
2021-02-28,53
2021-03-07,57
2021-03-14,54
2021-03-21,60
2021-03-28,58
2021-04-04,58
2021-04-11,59
2021-04-18,69
2021-04-25,71
2021-05-02,68
2021-05-09,75
2021-05-16,77
2021-05-23,74
2021-05-30,65
2021-06-06,66
2021-06-13,66
2021-06-20,60
2021-06-27,64
2021-07-04,76
2021-07-11,96
2021-07-18,89
2021-07-25,95
2021-08-01,100
2021-08-08,74
2021-08-15,60
2021-08-22,57
2021-08-29,54
2021-09-05,56
2021-09-12,60
2021-09-19,60
2021-09-26,55
2021-10-03,61
2021-10-10,63
2021-10-17,63
2021-10-24,62
2021-10-31,59
2021-11-07,62
2021-11-14,62
2021-11-21,55
2021-11-28,51
2021-12-05,52
2021-12-12,49
2021-12-19,56
2021-12-26,61
2014-12-28,71
2015-01-04,71
2015-01-11,74
2015-01-18,69
2015-01-25,70
2015-02-01,72
2015-02-08,70
2015-02-15,75
2015-02-22,72
2015-03-01,73
2015-03-08,77
2015-03-15,82
2015-03-22,67
2015-03-29,72
2015-04-05,75
2015-04-12,74
2015-04-19,72
2015-04-26,69
2015-05-03,79
2015-05-10,84
2015-05-17,87
2015-05-24,95
2015-05-31,100
2015-06-07,96
2015-06-14,98
2015-06-21,91
2015-06-28,81
2015-07-05,78
2015-07-12,70
2015-07-19,74
2015-07-26,72
2015-08-02,74
2015-08-09,76
2015-08-16,80
2015-08-23,74
2015-08-30,69
2015-09-06,66
2015-09-13,69
2015-09-20,71
2015-09-27,83
2015-10-04,69
2015-10-11,68
2015-10-18,76
2015-10-25,71
2015-11-01,71
2015-11-08,76
2015-11-15,71
2015-11-22,71
2015-11-29,78
2015-12-06,74
2015-12-13,74
2015-12-20,84
2015-12-27,87
2019-12-29,56
2020-01-05,52
2020-01-12,52
2020-01-19,60
2020-01-26,80
2020-02-02,76
2020-02-09,100
2020-02-16,65
2020-02-23,51
2020-03-01,46
2020-03-08,55
2020-03-15,67
2020-03-22,71
2020-03-29,60
2020-04-05,47
2020-04-12,47
2020-04-19,40
2020-04-26,38
2020-05-03,33
2020-05-10,31
2020-05-17,32
2020-05-24,29
2020-05-31,32
2020-06-07,34
2020-06-14,37
2020-06-21,34
2020-06-28,37
2020-07-05,35
2020-07-12,38
2020-07-19,38
2020-07-26,37
2020-08-02,35
2020-08-09,31
2020-08-16,30
2020-08-23,32
2020-08-30,27
2020-09-06,28
2020-09-13,28
2020-09-20,30
2020-09-27,29
2020-10-04,30
2020-10-11,28
2020-10-18,25
2020-10-25,27
2020-11-01,22
2020-11-08,23
2020-11-15,24
2020-11-22,25
2020-11-29,26
2020-12-06,24
2020-12-13,22
2020-12-20,21
2020-12-27,24
2017-01-01,80
2017-01-08,71
2017-01-15,74
2017-01-22,71
2017-01-29,84
2017-02-05,83
2017-02-12,75
2017-02-19,74
2017-02-26,72
2017-03-05,79
2017-03-12,81
2017-03-19,79
2017-03-26,80
2017-04-02,78
2017-04-09,76
2017-04-16,78
2017-04-23,83
2017-04-30,91
2017-05-07,91
2017-05-14,100
2017-05-21,94
2017-05-28,100
2017-06-04,89
2017-06-11,81
2017-06-18,77
2017-06-25,80
2017-07-02,79
2017-07-09,84
2017-07-16,86
2017-07-23,72
2017-07-30,68
2017-08-06,74
2017-08-13,74
2017-08-20,72
2017-08-27,76
2017-09-03,78
2017-09-10,73
2017-09-17,73
2017-09-24,76
2017-10-01,77
2017-10-08,79
2017-10-15,77
2017-10-22,66
2017-10-29,69
2017-11-05,75
2017-11-12,88
2017-11-19,82
2017-11-26,78
2017-12-03,79
2017-12-10,77
2017-12-17,73
2017-12-24,87
2017-12-31,82
2018-12-30,75
2019-01-06,75
2019-01-13,66
2019-01-20,70
2019-01-27,67
2019-02-03,72
2019-02-10,68
2019-02-17,68
2019-02-24,64
2019-03-03,69
2019-03-10,63
2019-03-17,63
2019-03-24,60
2019-03-31,64
2019-04-07,69
2019-04-14,57
2019-04-21,60
2019-04-28,68
2019-05-05,70
2019-05-12,68
2019-05-19,73
2019-05-26,73
2019-06-02,75
2019-06-09,78
2019-06-16,82
2019-06-23,93
2019-06-30,94
2019-07-07,94
2019-07-14,95
2019-07-21,81
2019-07-28,88
2019-08-04,73
2019-08-11,72
2019-08-18,88
2019-08-25,64
2019-09-01,69
2019-09-08,63
2019-09-15,65
2019-09-22,65
2019-09-29,62
2019-10-06,61
2019-10-13,71
2019-10-20,67
2019-10-27,71
2019-11-03,73
2019-11-10,73
2019-11-17,71
2019-11-24,69
2019-12-01,76
2019-12-08,76
2019-12-15,88
2019-12-22,95
2019-12-29,100
