Week,mosquito: (Singapore)
2021-10-31,63
2021-11-07,69
2021-11-14,72
2021-11-21,76
2021-11-28,56
2021-12-05,53
2021-12-12,71
2021-12-19,60
2021-12-26,57
2017-01-01,79
2017-01-08,59
2017-01-15,74
2017-01-22,67
2017-01-29,70
2017-02-05,75
2017-02-12,73
2017-02-19,84
2017-02-26,70
2017-03-05,81
2017-03-12,77
2017-03-19,75
2017-03-26,80
2017-04-02,100
2017-04-09,92
2017-04-16,98
2017-04-23,82
2017-04-30,89
2017-05-07,96
2017-05-14,86
2017-05-21,81
2017-05-28,88
2017-06-04,71
2017-06-11,75
2017-06-18,74
2017-06-25,71
2017-07-02,71
2017-07-09,82
2017-07-16,86
2017-07-23,79
2017-07-30,73
2017-08-06,62
2017-08-13,86
2017-08-20,76
2017-08-27,73
2017-09-03,87
2017-09-10,75
2017-09-17,78
2017-09-24,82
2017-10-01,93
2017-10-08,83
2017-10-15,82
2017-10-22,84
2017-10-29,71
2017-11-05,66
2017-11-12,72
2017-11-19,77
2017-11-26,76
2017-12-03,80
2017-12-10,59
2017-12-17,52
2017-12-24,71
2017-12-31,72
2017-12-31,59
2018-01-07,68
2018-01-14,67
2018-01-21,80
2018-01-28,46
2018-02-04,67
2018-02-11,57
2018-02-18,68
2018-02-25,74
2018-03-04,74
2018-03-11,71
2018-03-18,71
2018-03-25,78
2018-04-01,81
2018-04-08,89
2018-04-15,79
2018-04-22,89
2018-04-29,77
2018-05-06,100
2018-05-13,81
2018-05-20,84
2018-05-27,89
2018-06-03,83
2018-06-10,78
2018-06-17,67
2018-06-24,91
2018-07-01,86
2018-07-08,82
2018-07-15,79
2018-07-22,68
2018-07-29,85
2018-08-05,80
2018-08-12,72
2018-08-19,63
2018-08-26,72
2018-09-02,54
2018-09-09,60
2018-09-16,63
2018-09-23,62
2018-09-30,72
2018-10-07,53
2018-10-14,69
2018-10-21,71
2018-10-28,61
2018-11-04,78
2018-11-11,87
2018-11-18,73
2018-11-25,98
2018-12-02,79
2018-12-09,90
2018-12-16,71
2018-12-23,68
2018-12-30,68
2012-01-01,68
2012-01-08,64
2012-01-15,61
2012-01-22,75
2012-01-29,83
2012-02-05,86
2012-02-12,74
2012-02-19,67
2012-02-26,78
2012-03-04,51
2012-03-11,60
2012-03-18,79
2012-03-25,82
2012-04-01,92
2012-04-08,92
2012-04-15,78
2012-04-22,91
2012-04-29,91
2012-05-06,100
2012-05-13,89
2012-05-20,75
2012-05-27,68
2012-06-03,85
2012-06-10,94
2012-06-17,71
2012-06-24,82
2012-07-01,76
2012-07-08,86
2012-07-15,100
2012-07-22,95
2012-07-29,100
2012-08-05,93
2012-08-12,95
2012-08-19,95
2012-08-26,85
2012-09-02,91
2012-09-09,93
2012-09-16,95
2012-09-23,76
2012-09-30,75
2012-10-07,76
2012-10-14,60
2012-10-21,80
2012-10-28,61
2012-11-04,73
2012-11-11,72
2012-11-18,70
2012-11-25,71
2012-12-02,87
2012-12-09,55
2012-12-16,67
2012-12-23,80
2012-12-30,90
