Year,Week,Wolbachia_Areas,Wolbachia_Ratio
2018,35,2,0.036363636
2018,36,2,0.036363636
2018,37,2,0.036363636
2018,38,2,0.036363636
2018,39,2,0.036363636
2018,40,2,0.036363636
2018,41,2,0.036363636
2018,42,2,0.036363636
2018,43,2,0.036363636
2018,44,2,0.036363636
2018,45,2,0.036363636
2018,46,2,0.036363636
2018,47,2,0.036363636
2018,48,2,0.036363636
2018,49,2,0.036363636
2018,50,2,0.036363636
2018,51,2,0.036363636
2018,52,2,0.036363636
2018,53,2,0.036363636
2019,1,2,0.036363636
2019,2,2,0.036363636
2019,3,2,0.036363636
2019,4,2,0.036363636
2019,5,2,0.036363636
2019,6,2,0.036363636
2019,7,2,0.036363636
2019,8,2,0.036363636
2019,9,2,0.036363636
2019,10,2,0.036363636
2019,11,2,0.036363636
2019,12,2,0.036363636
2019,13,2,0.036363636
2019,14,2,0.036363636
2019,15,2,0.036363636
2019,16,2,0.036363636
2019,17,2,0.036363636
2019,18,2,0.036363636
2019,19,2,0.036363636
2019,20,2,0.036363636
2019,21,2,0.036363636
2019,22,2,0.036363636
2019,23,2,0.036363636
2019,24,2,0.036363636
2019,25,2,0.036363636
2019,26,2,0.036363636
2019,27,2,0.036363636
2019,28,2,0.036363636
2019,29,2,0.036363636
2019,30,2,0.036363636
2019,31,2,0.036363636
2019,32,2,0.036363636
2019,33,2,0.036363636
2019,34,2,0.036363636
2019,35,2,0.036363636
2019,36,2,0.036363636
2019,37,2,0.036363636
2019,38,2,0.036363636
2019,39,2,0.036363636
2019,40,2,0.036363636
2019,41,2,0.036363636
2019,42,2,0.036363636
2019,43,2,0.036363636
2019,44,2,0.036363636
2019,45,2,0.036363636
2019,46,2,0.036363636
2019,47,2,0.036363636
2019,48,2,0.036363636
2019,49,2,0.036363636
2019,50,2,0.036363636
2019,51,2,0.036363636
2019,52,2,0.036363636
2019,53,2,0.036363636
2020,1,2,0.036363636
2020,2,2,0.036363636
2020,3,2,0.036363636
2020,4,2,0.036363636
2020,5,2,0.036363636
2020,6,2,0.036363636
2020,7,2,0.036363636
2020,8,2,0.036363636
2020,9,2,0.036363636
2020,10,2,0.036363636
2020,11,2,0.036363636
2020,12,2,0.036363636
2020,13,2,0.036363636
2020,14,2,0.036363636
2020,15,2,0.036363636
2020,16,2,0.036363636
2020,17,2,0.036363636
2020,18,2,0.036363636
2020,19,5,0.090909091
2020,20,5,0.090909091
2020,21,5,0.090909091
2020,22,5,0.090909091
2020,23,5,0.090909091
2020,24,5,0.090909091
2020,25,5,0.090909091
2020,26,5,0.090909091
2020,27,5,0.090909091
2020,28,5,0.090909091
2020,29,5,0.090909091
2020,30,5,0.090909091
2020,31,5,0.090909091
2020,32,5,0.090909091
2020,33,5,0.090909091
2020,34,5,0.090909091
2020,35,5,0.090909091
2020,36,5,0.090909091
2020,37,5,0.090909091
2020,38,5,0.090909091
2020,39,5,0.090909091
2020,40,5,0.090909091
2020,41,5,0.090909091
2020,42,5,0.090909091
2020,43,5,0.090909091
2020,44,5,0.090909091
2020,45,5,0.090909091
2020,46,5,0.090909091
2020,47,5,0.090909091
2020,48,5,0.090909091
2020,49,5,0.090909091
2020,50,5,0.090909091
2020,51,5,0.090909091
2020,52,5,0.090909091
2020,53,5,0.090909091
2021,1,5,0.090909091
2021,2,5,0.090909091
2021,3,5,0.090909091
2021,4,5,0.090909091
2021,5,5,0.090909091
2021,6,5,0.090909091
2021,7,5,0.090909091
2021,8,5,0.090909091
2021,9,5,0.090909091
2021,10,5,0.090909091
2021,11,5,0.090909091
2021,12,5,0.090909091
2021,13,5,0.090909091
2021,14,5,0.090909091
2021,15,5,0.090909091
2021,16,5,0.090909091
2021,17,5,0.090909091
2021,18,5,0.090909091
2021,19,5,0.090909091
2021,20,5,0.090909091
2021,21,5,0.090909091
2021,22,5,0.090909091
2021,23,5,0.090909091
2021,24,5,0.090909091
2021,25,5,0.090909091
2021,26,5,0.090909091
2021,27,5,0.090909091
2021,28,5,0.090909091
2021,29,5,0.090909091
2021,30,5,0.090909091
2021,31,5,0.090909091
2021,32,5,0.090909091
2021,33,5,0.090909091
2021,34,5,0.090909091
2021,35,5,0.090909091
2021,36,5,0.090909091
2021,37,5,0.090909091
2021,38,5,0.090909091
2021,39,5,0.090909091
2021,40,5,0.090909091
2021,41,5,0.090909091
2021,42,5,0.090909091
2021,43,5,0.090909091
2021,44,5,0.090909091
2021,45,5,0.090909091
2021,46,5,0.090909091
2021,47,5,0.090909091
2021,48,5,0.090909091
2021,49,5,0.090909091
2021,50,5,0.090909091
2021,51,5,0.090909091
2021,52,5,0.090909091
2021,53,5,0.090909091
2022,1,5,0.090909091
2022,2,5,0.090909091
2022,3,5,0.090909091
2022,4,5,0.090909091
2022,5,5,0.090909091
2022,6,5,0.090909091
2022,7,5,0.090909091
2022,8,5,0.090909091
2022,9,5,0.090909091
2022,10,5,0.090909091
2022,11,5,0.090909091
2022,12,5,0.090909091
2022,13,5,0.090909091
2022,14,5,0.090909091
2022,15,5,0.090909091
2022,16,5,0.090909091
2022,17,5,0.090909091
2022,18,5,0.090909091
2022,19,5,0.090909091
2022,20,5,0.090909091
2022,21,5,0.090909091
2022,22,5,0.090909091
2022,23,5,0.090909091
2022,24,5,0.090909091
2022,25,5,0.090909091
2022,26,15,0.272727273
2022,27,15,0.272727273
2022,28,15,0.272727273
2022,29,15,0.272727273
2022,30,15,0.272727273
2022,31,15,0.272727273
2022,32,15,0.272727273
2022,33,15,0.272727273
2022,34,15,0.272727273
2022,35,15,0.272727273
2022,36,15,0.272727273
2022,37,15,0.272727273
2022,38,15,0.272727273
2022,39,15,0.272727273
2022,40,15,0.272727273
2022,41,15,0.272727273
2022,42,15,0.272727273
2022,43,15,0.272727273
2022,44,15,0.272727273
2022,45,15,0.272727273
2022,46,15,0.272727273
2022,47,15,0.272727273
2022,48,15,0.272727273
2022,49,15,0.272727273
2022,50,15,0.272727273
2022,51,15,0.272727273
2022,52,15,0.272727273
2023,1,15,0.272727273
2023,2,15,0.272727273
2023,3,15,0.272727273
2023,4,15,0.272727273
2023,5,15,0.272727273
2023,6,15,0.272727273
2023,7,15,0.272727273
2023,8,15,0.272727273
2023,9,15,0.272727273
2023,10,15,0.272727273
2023,11,15,0.272727273
2023,12,15,0.272727273
2023,13,15,0.272727273
2023,14,15,0.272727273
2023,15,15,0.272727273
2023,16,15,0.272727273
2023,17,15,0.272727273
2023,18,15,0.272727273
2023,19,15,0.272727273
2023,20,15,0.272727273
2023,21,15,0.272727273
2023,22,15,0.272727273
2023,23,15,0.272727273
2023,24,15,0.272727273
2023,25,15,0.272727273
2023,26,15,0.272727273
2023,27,15,0.272727273
2023,28,15,0.272727273
2023,29,15,0.272727273
2023,30,15,0.272727273
2023,31,15,0.272727273
2023,32,15,0.272727273
2023,33,15,0.272727273
2023,34,15,0.272727273
2023,35,15,0.272727273
2023,36,15,0.272727273
2023,37,15,0.272727273
2023,38,15,0.272727273
2023,39,15,0.272727273
2023,40,15,0.272727273
2023,41,15,0.272727273
2023,42,15,0.272727273
2023,43,15,0.272727273
2023,44,15,0.272727273
2023,45,15,0.272727273
2023,46,15,0.272727273
2023,47,15,0.272727273
2023,48,15,0.272727273
2023,49,15,0.272727273
2023,50,15,0.272727273
2023,51,15,0.272727273
2023,52,15,0.272727273
2023,53,15,0.272727273
2024,1,15,0.272727273
2024,2,15,0.272727273
2024,3,15,0.272727273
2024,4,15,0.272727273
2024,5,15,0.272727273
2024,6,15,0.272727273
2024,7,15,0.272727273
2024,8,15,0.272727273
2024,9,15,0.272727273
2024,10,15,0.272727273
2024,11,15,0.272727273
2024,12,15,0.272727273
2024,13,15,0.272727273
2024,14,15,0.272727273
2024,15,15,0.272727273
2024,16,15,0.272727273
2024,17,15,0.272727273
2024,18,15,0.272727273
2024,19,15,0.272727273
2024,20,15,0.272727273
2024,21,15,0.272727273
2024,22,15,0.272727273
2024,23,15,0.272727273
2024,24,15,0.272727273
2024,25,15,0.272727273
2024,26,15,0.272727273
